system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20221031T140711_20221031T141406_T20HMH_24_0,3748,3225,982,1180,1554,1743,2248,0.41230988593155893,0.31155193,0.1265347,0.18253551,0.273767258382643,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.03613292113724,-33.885332098731126]}"
20221031T140711_20221031T141406_T20HMH_27_0,1590,968,312,548,499,913,3108,1.7333244751528039,0.7002188,0.54588413,0.7233158,1.0848232848232848,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.89708906100724,-33.807391291030314]}"
20221031T140711_20221031T141406_T20HMH_45_0,4444,3567,1198,1578,2242,2541,3296,0.33938691396187537,0.35248256,0.12934726,0.19032142,0.2854563509975625,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.091983854632026,-33.99508657806096]}"
20221031T140711_20221031T141406_T20HMH_61_0,267,207,359,614,454,1052,1364,1.6290726817042605,0.37917086,0.12913907,0.50055003,0.7506186417376959,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.72687195515791,-33.796995243822046]}"
20221031T140711_20221031T141406_T20HMH_66_0,3772,3421,1124,1394,1890,2048,2610,0.3260278934975548,0.3036963,0.12065264,0.16,0.23997333629596712,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.97554317408662,-33.85381067062613]}"
20221031T140711_20221031T141406_T20HMH_93_0,3735,3172,960,1152,1512,1705,2208,0.4263660867434452,0.31428573,0.12854587,0.18709677,0.2806074452358554,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.40169223550916,-33.49173437109175]}"
20221031T140711_20221031T141406_T20HMH_113_0,3585,2873,1258,1604,1860,2159,3188,0.6756206756206756,0.3305509,0.19244435,0.2630745,0.39457264534020003,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.26184247777136,-33.94920656134496]}"
20221031T140711_20221031T141406_T20HMH_120_0,3347,3104,888,1136,1560,1871,2460,0.4359620228637861,0.36818686,0.13599631,0.2238806,0.3357791319487626,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.77653854625029,-33.794167322727304]}"
20221031T140711_20221031T141406_T20HMH_142_0,3411,2925,854,1074,1382,1689,2380,0.5845829428303655,0.37811235,0.16982059,0.26528442,0.39787375415282394,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.94529607374055,-34.114518220515684]}"
20221031T140711_20221031T141406_T20HMH_193_0,3774,3201,1001,1160,1520,1710,2174,0.4316831683168316,0.30413917,0.11946447,0.17704386,0.26552984165651644,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01968185932259,-33.68363114110453]}"
20221031T140711_20221031T141406_T20HMH_211_0,283,259,265,451,326,714,708,1.4095940959409594,0.22174288,-0.004219409,0.36943907,0.5538907684871919,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.22337622531756,-33.84799851474095]}"
